type_of_food,number_of_guests,event_type,quantity_of_food,storage_conditions,purchase_history,seasonality,preparation_method,geographical_location,pricing,wastage_food_amount,food_per_guest,food_per_guest_category
Meat,310,Corporate,450,Refrigerated,Regular,All Seasons,Buffet,Urban,Low,25,1.4516129032258065,Medium
Meat,400,Birthday,500,Room Temperature,Regular,Winter,Buffet,Suburban,High,40,1.25,Low
Vegetables,302,Birthday,371,Refrigerated,Regular,Summer,Buffet,Suburban,Low,27,1.228476821192053,Low
Meat,491,Birthday,497,Refrigerated,Regular,All Seasons,Finger Food,Rural,High,32,1.0122199592668024,Low
Meat,300,Corporate,400,Refrigerated,Regular,Winter,Finger Food,Urban,Moderate,25,1.3333333333333333,Medium
Meat,302,Birthday,371,Refrigerated,Regular,Summer,Buffet,Suburban,Low,27,1.228476821192053,Low
Meat,240,Wedding,450,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,Low,20,1.875,High
Meat,300,Wedding,400,Refrigerated,Regular,Summer,Finger Food,Rural,Moderate,25,1.3333333333333333,Medium
Fruits,320,Corporate,400,Refrigerated,Regular,All Seasons,Buffet,Urban,High,45,1.25,Low
Meat,400,Corporate,500,Refrigerated,Occasional,Winter,Finger Food,Urban,High,40,1.25,Low
Fruits,320,Wedding,400,Room Temperature,Regular,Summer,Buffet,Rural,High,35,1.25,Low
Meat,302,Birthday,371,Room Temperature,Regular,Winter,Buffet,Suburban,Low,27,1.228476821192053,Low
Meat,400,Wedding,500,Refrigerated,Occasional,Summer,Sit-down Dinner,Urban,Low,25,1.25,Low
Meat,250,Social Gathering,350,Room Temperature,Regular,Winter,Buffet,Urban,Low,10,1.4,Medium
Fruits,267,Corporate,393,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,Low,24,1.4719101123595506,Medium
Meat,350,Wedding,450,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,High,40,1.2857142857142858,Low
Fruits,300,Birthday,400,Room Temperature,Regular,Winter,Finger Food,Suburban,Low,20,1.3333333333333333,Medium
Fruits,380,Wedding,500,Room Temperature,Regular,Winter,Sit-down Dinner,Rural,High,35,1.3157894736842106,Medium
Fruits,300,Birthday,450,Refrigerated,Regular,All Seasons,Finger Food,Suburban,Low,25,1.5,Medium
Meat,220,Social Gathering,300,Room Temperature,Regular,Winter,Buffet,Suburban,Low,10,1.3636363636363635,Medium
Meat,220,Corporate,450,Room Temperature,Regular,Winter,Finger Food,Urban,Moderate,30,2.0454545454545454,High
Vegetables,220,Corporate,300,Refrigerated,Regular,Winter,Finger Food,Suburban,Low,15,1.3636363636363635,Medium
Meat,350,Corporate,450,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,High,35,1.2857142857142858,Low
Fruits,400,Wedding,500,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,High,40,1.25,Low
Meat,320,Wedding,400,Refrigerated,Regular,Winter,Finger Food,Suburban,Moderate,25,1.25,Low
Fruits,400,Wedding,500,Refrigerated,Regular,All Seasons,Finger Food,Urban,High,40,1.25,Low
Baked Goods,320,Corporate,400,Room Temperature,Regular,Summer,Buffet,Rural,High,35,1.25,Low
Meat,400,Birthday,500,Room Temperature,Regular,Winter,Finger Food,Suburban,High,40,1.25,Low
Meat,208,Wedding,282,Refrigerated,Regular,Summer,Sit-down Dinner,Rural,Moderate,22,1.3557692307692308,Medium
Meat,280,Birthday,350,Room Temperature,Regular,Winter,Finger Food,Rural,Moderate,20,1.25,Low
Meat,380,Corporate,400,Refrigerated,Regular,Winter,Finger Food,Suburban,Moderate,25,1.0526315789473684,Low
Meat,438,Corporate,493,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,Moderate,35,1.1255707762557077,Low
Fruits,350,Corporate,450,Refrigerated,Regular,All Seasons,Finger Food,Suburban,Low,20,1.2857142857142858,Low
Meat,220,Corporate,300,Refrigerated,Occasional,Winter,Finger Food,Suburban,Moderate,15,1.3636363636363635,Medium
Fruits,220,Corporate,300,Room Temperature,Regular,Winter,Finger Food,Rural,Moderate,15,1.3636363636363635,Medium
Vegetables,280,Social Gathering,350,Room Temperature,Regular,Summer,Buffet,Urban,Low,20,1.25,Low
Meat,220,Corporate,300,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,15,1.3636363636363635,Medium
Fruits,491,Wedding,497,Room Temperature,Regular,All Seasons,Finger Food,Urban,High,32,1.0122199592668024,Low
Fruits,400,Birthday,500,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,High,50,1.25,Low
Meat,250,Birthday,350,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,Moderate,20,1.4,Medium
Meat,300,Corporate,400,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,35,1.3333333333333333,Medium
Dairy Products,439,Corporate,459,Room Temperature,Regular,Summer,Buffet,Suburban,Low,39,1.0455580865603644,Low
Fruits,240,Corporate,450,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Low,20,1.875,High
Baked Goods,300,Birthday,400,Room Temperature,Regular,Summer,Finger Food,Suburban,Low,20,1.3333333333333333,Medium
Fruits,280,Corporate,350,Refrigerated,Occasional,Summer,Finger Food,Suburban,Moderate,20,1.25,Low
Fruits,350,Wedding,450,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,High,40,1.2857142857142858,Low
Meat,400,Social Gathering,450,Refrigerated,Regular,All Seasons,Buffet,Urban,Moderate,30,1.125,Low
Fruits,434,Birthday,495,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,Low,36,1.140552995391705,Low
Fruits,300,Corporate,400,Refrigerated,Regular,All Seasons,Finger Food,Rural,Moderate,15,1.3333333333333333,Medium
Fruits,290,Social Gathering,374,Room Temperature,Regular,Winter,Finger Food,Urban,Low,27,1.289655172413793,Low
Dairy Products,300,Birthday,400,Room Temperature,Regular,Winter,Finger Food,Urban,Low,20,1.3333333333333333,Medium
Meat,320,Social Gathering,400,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,High,40,1.25,Low
Baked Goods,320,Birthday,400,Room Temperature,Regular,Summer,Finger Food,Urban,Moderate,20,1.25,Low
Meat,400,Social Gathering,500,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,High,45,1.25,Low
Vegetables,280,Birthday,350,Refrigerated,Regular,All Seasons,Finger Food,Rural,Moderate,20,1.25,Low
