category,quantity,shelf_life,storage_condition,days_to_expiry,risk_level
Dairy,227.0,6,Refrigerated,-39,Warning
Dairy,435.0,15,Refrigerated,-41,Safe
Dairy,710.0,22,Frozen,-18,Safe
Dairy,647.0,14,Refrigerated,-34,Safe
Dairy,227.0,11,Refrigerated,-33,Safe
Dairy,17.0,29,Refrigerated,0,Safe
Dairy,123.0,5,Refrigerated,-21,Warning
Dairy,431.0,7,Refrigerated,-32,Warning
Dairy Products,500.0,7,Room Temperature,1,High Risk
Dairy,430.0,27,Frozen,9,Safe
Dairy,290.0,68,Refrigerated,22,Safe
Dairy,7.0,13,Refrigerated,-32,Safe
Dairy,368.0,24,Refrigerated,-30,Safe
Dairy,193.0,70,Frozen,45,Safe
Meat,350.0,7,Room Temperature,7,Safe
Meat,484.0,7,Refrigerated,1,High Risk
Dairy,203.0,21,Frozen,16,Safe
Dairy,656.0,2,Polythene Packet,-41,High Risk
Dairy,14.0,10,Refrigerated,-26,Safe
Dairy,119.0,28,Refrigerated,-7,Safe
Dairy,25.0,25,Tetra Pack,12,Safe
Dairy,269.0,36,Frozen,9,Safe
Dairy,49.0,5,Refrigerated,-3,Warning
Vegetables,350.0,7,Room Temperature,7,Safe
Fruit,1.0,14,Room Temperature,8,Safe
Dairy,24.0,61,Refrigerated,11,Safe
Dairy Products,350.0,7,Room Temperature,7,Safe
Dairy,101.0,35,Frozen,-13,Safe
Meat,480.0,7,Refrigerated,3,Warning
Dairy,841.0,23,Frozen,-23,Safe
Dairy,439.0,38,Refrigerated,33,Safe
Dairy Products,300.0,7,Room Temperature,7,Safe
Meat,420.0,7,Room Temperature,1,High Risk
Dairy,475.0,15,Refrigerated,-12,Safe
Dairy,199.0,10,Refrigerated,-22,Safe
Dairy Products,350.0,7,Room Temperature,3,Warning
Dairy,53.0,10,Refrigerated,-43,Safe
Dairy,243.0,29,Frozen,-30,Safe
Dairy,724.0,6,Refrigerated,-15,Warning
Fruit,4.0,5,Refrigerated,2,Warning
Fruit,6.0,30,Room Temperature,9,Warning
Dairy,421.0,26,Refrigerated,16,Safe
Dairy,32.0,5,Refrigerated,1,Warning
Dairy,290.0,12,Refrigerated,3,Safe
Dairy,560.0,121,Ambient,75,Safe
Dairy,37.0,39,Frozen,25,Safe
Dairy Products,420.0,7,Room Temperature,7,Safe
Dairy,34.0,7,Refrigerated,-19,Warning
Dairy,192.0,8,Refrigerated,-44,Safe
Dairy,236.0,26,Frozen,-26,Safe
Dairy,157.0,108,Ambient,53,Safe
Fruits,400.0,7,Room Temperature,1,High Risk
Dairy,738.0,27,Refrigerated,2,Safe
Dairy,53.0,14,Refrigerated,-16,Safe
Fruits,480.0,7,Room Temperature,7,Safe
Dairy,845.0,26,Tetra Pack,22,Safe
Dairy,196.0,36,Refrigerated,16,Safe
Dairy,432.0,11,Refrigerated,-20,Safe
Dairy,49.0,11,Refrigerated,-48,Safe
Dairy,58.0,100,Ambient,54,Safe
Meat,400.0,7,Refrigerated,3,Warning
Dairy,208.0,6,Refrigerated,-11,Warning
Dairy,179.0,40,Frozen,25,Safe
Fruits,500.0,7,Room Temperature,1,High Risk
Dairy,21.0,21,Refrigerated,14,Safe
Dairy,322.0,13,Refrigerated,-24,Safe
Dairy,394.0,13,Refrigerated,-16,Safe
Dairy,270.0,136,Ambient,103,Safe
Dairy,244.0,28,Refrigerated,18,Safe
Dairy,116.0,8,Refrigerated,-52,Safe
Dairy,253.0,6,Refrigerated,-2,Warning
Baked Goods,282.0,7,Room Temperature,3,Warning
Dairy,77.0,25,Tetra Pack,-30,Safe
Dairy Products,400.0,7,Room Temperature,3,Warning
Fruits,500.0,7,Room Temperature,3,Warning
Dairy,510.0,27,Refrigerated,19,Safe
Dairy Products,350.0,7,Room Temperature,7,Safe
Dairy,211.0,22,Frozen,5,Safe
Dairy,231.0,23,Refrigerated,-33,Safe
Dairy,119.0,12,Refrigerated,-28,Safe
Dairy,836.0,89,Refrigerated,61,Safe
Dairy,180.0,88,Ambient,80,Safe
Dairy,33.0,28,Frozen,9,Safe
Dairy,479.0,27,Frozen,-20,Safe
Meat,400.0,7,Refrigerated,7,Safe
Dairy,532.0,12,Refrigerated,11,Safe
Vegetables,400.0,7,Refrigerated,3,Warning
Dairy,298.0,28,Frozen,0,Safe
Dairy,6.0,16,Refrigerated,10,Safe
Dairy,843.0,27,Frozen,7,Safe
Dairy,45.0,32,Frozen,-28,Safe
Dairy,320.0,11,Refrigerated,-2,Safe
Dairy,44.0,21,Tetra Pack,18,Safe
Dairy,115.0,39,Refrigerated,19,Safe
Dairy,402.0,23,Frozen,-20,Safe
Dairy,4.0,14,Refrigerated,9,Safe
Dairy,134.0,7,Refrigerated,-28,Warning
Meat,500.0,7,Refrigerated,3,Warning
Dairy,672.0,13,Refrigerated,10,Safe
Meat,350.0,7,Refrigerated,7,Safe
Dairy,318.0,27,Frozen,0,Safe
Vegetables,400.0,7,Refrigerated,3,Warning
Dairy,25.0,6,Refrigerated,-11,Warning
Dairy Products,300.0,7,Room Temperature,7,Safe
Dairy,150.0,14,Refrigerated,-36,Safe
Dairy,238.0,24,Tetra Pack,17,Safe
Fruit,8.0,7,Refrigerated,5,Safe
Dairy,238.0,10,Refrigerated,-33,Safe
Dairy,396.0,144,Ambient,124,Safe
Dairy,345.0,61,Refrigerated,18,Safe
Dairy,5.0,13,Refrigerated,11,Safe
Dairy,194.0,10,Refrigerated,3,Safe
Dairy,695.0,14,Refrigerated,-46,Safe
Dairy,605.0,113,Ambient,98,Safe
Baked Goods,350.0,7,Room Temperature,3,Warning
Dairy,93.0,27,Tetra Pack,15,Safe
Vegetables,350.0,7,Refrigerated,7,Safe
Dairy,359.0,65,Ambient,56,Safe
Dairy,46.0,6,Refrigerated,-20,Warning
Dairy,330.0,13,Refrigerated,-28,Safe
Dairy,120.0,2,Polythene Packet,-37,High Risk
Dairy,897.0,7,Refrigerated,-2,Warning
Dairy,758.0,118,Ambient,68,Safe
